process_id,process_name,department,data_completeness,data_accuracy,data_consistency,data_timeliness,data_lineage,data_ownership,metadata_completeness,data_access_compliance,process_governance_score,process_measurement_score,pam_readiness_score,ai_readiness_score,continuous_improvement_score,owner_assigned,roles_defined,hierarchy_alignment,bpmn_compliance,standardized_definition,kpi_linked,system_linked,event_data_available,deviation_monitoring,execution_data_quality,process_adherence,execution_visibility,process_standardization,automation_opportunity,decision_structure,ai_data_readiness,improvement_actions_defined,monitoring_capability,feedback_availability,remediation_tracking,cycle_time_hours,waiting_time_hours,exception_rate,rework_rate,manual_handling_rate,handoff_count
PRC-001,Purchase-to-Pay,Finance,0.8080549381847502,0.830868560654921,0.48387657204951495,0.5226738686586276,0.7371768551630681,0.670564405836438,0.715480621062332,0.6326964019306173,14.12620663959609,13.82138852129445,11.686104807691253,13.433734746535754,12.890540741763742,1,0.7733134123003501,0.5741684045636255,0.8497683398840662,1,1,1,0,0,0.6537516213635092,0.6651807621147409,0.7978471725209776,0.772817404342587,0.343909097051423,0.7826239451391577,1.0,0.6570385422302829,0.6411643853272447,0.5959348854507936,0.8103977080742997,37.74969908656966,9.264304128439095,0.06738724343660515,0.04996612417649919,0.4331706974605777,6
PRC-002,Order-to-Cash,Operations,0.7766187536784965,0.6315790766072298,0.7392996002498795,0.7289431128529824,0.7442435309912251,0.8421545581741016,0.7449795737980754,0.7793315977890626,11.585781072176644,12.250402059779923,13.276908541225591,5.588695921179224,10.424030214638066,1,0.6156085642453718,0.6701689037978705,0.9356814381670325,1,1,1,1,1,0.7993735911857649,0.8181242284508013,0.8304423267618619,0.6591314806446075,0.21920698961844182,0.8401366236704462,0.6827445927496308,0.5200872929811848,0.541447159381351,0.5735223985816315,0.7860143530899377,28.081050116249457,14.182748743660387,0.10238771584851529,0.12035212041972047,0.4337787144610502,4
PRC-003,Customer Onboarding,HR,0.6933372413588588,0.691095155666868,0.5934029454759826,0.8099495750645047,0.6664933519162588,0.7387778207558205,0.8090157017825538,0.7815568205496618,13.786614574065037,11.495002793618408,10.520564311014217,10.077497208534146,6.728455945272589,1,0.538498761093507,0.5873166788064451,0.7968698369551829,1,1,0,1,1,0.5968610509451858,0.7060880692665229,0.5944003947100802,0.686048741561583,0.3891425176719419,0.4778056394678151,0.802067249478546,0.7725640432965091,0.6477812095921482,0.5199950247883992,0.7477231291037478,20.597961820961956,11.079405426874882,0.1306770607578752,0.21526763368526394,0.31598028808256995,3
PRC-004,Invoice Processing,IT,0.8041023432274407,0.7412131837083378,0.6838243612965295,0.8604952678815225,0.4626853760501607,0.5450371042861262,0.5020134429877596,0.6020188538830115,6.125938904508486,12.161450187620625,9.589329255881093,4.561578795272263,7.209260103554788,0,0.7667188193827454,0.9405094679523562,1.0,0,1,1,1,1,0.5786962451716355,0.549185314339617,0.6198812012361306,0.8008968688167348,0.3825574509182134,0.617204608642785,0.4856517712747166,0.38979739249293477,0.5680536478375887,0.6329324515758402,0.9061893212355707,30.07275018877121,16.92243938735811,0.11775640185729132,0.043213976143147106,0.2816360797228918,4
PRC-005,Employee Onboarding,Procurement,0.549549370487142,0.3405794046683375,0.56071942758369,0.5066733109546602,0.42543498139006714,0.4428162871184656,0.3507125117243721,0.49353788618698874,5.817940215598151,3.5060733653187466,3.3490779336616328,6.802793077709287,11.920164425851794,0,0.4311349171222983,0.49180458697916213,0.6448309272948044,0,0,1,1,0,0.4764158316220666,0.26526031128070565,0.24370678615193095,0.6965698558734681,0.8096191920787139,0.4220027840463906,0.3914525678683825,0.668147309875111,0.2828738137322575,0.3147216131954067,0.5454296852421373,30.586028790240686,13.684239475136643,0.20224536830640477,0.19588685856661803,0.6719859570363166,6
PRC-006,Incident Management,Supply Chain,0.5216451867168347,0.4263037625133044,0.3812338276976135,0.3957685399091363,0.4773728788433271,0.6648767763018508,0.3285324872875143,0.5305545442078906,6.987354019174447,7.4568430360893,11.448135795088994,8.999225840290062,12.452056641503413,1,0.4231000031978434,0.49391257241637393,0.5638659136391321,1,1,1,1,0,0.8090180866406994,0.3995048923646259,0.48438389071607246,0.3079750946728984,0.38390255295702813,0.5748321454869999,0.7083694380816838,0.4181288192869076,0.4293694289382794,0.20539804048765065,0.5030915068667128,21.5511140329509,9.438483906525274,0.12160371926205825,0.1468036864146933,0.24895232581555735,3
PRC-007,Change Management,Customer Service,0.29401460152174164,0.6460584943348561,0.7742369312451473,0.24989387661249718,0.37039152741809384,0.47686220357737485,0.6849335175971373,0.32694316309347465,6.074228397154446,9.142074663166007,8.11436015838063,4.83033597941788,6.408593041432651,1,0.38990280934009863,0.38567074743495516,0.4604543543802368,1,0,0,1,1,0.43360217307297855,0.42564152990001053,0.3173951659048713,0.4731030101872946,0.5597781393016782,0.7396041172758876,0.6616321063075847,0.4835058538197735,0.3111702894820833,0.2587671501387857,0.6043003138996281,37.858626123382436,16.922056227241487,0.08274445976117506,0.24276976468436107,0.5704345615707594,4
PRC-008,Vendor Management,Compliance,0.7894818760205752,0.7481253179213994,0.7707672680499107,0.7453892534867932,0.8060702370331962,1.0,0.39818709407813135,0.7595008337668576,13.060511027602557,13.418955732546515,11.415230019521346,5.694436695613815,13.514960214627544,1,0.5531066494804053,0.9127600622725542,0.7339070767493919,1,1,1,0,0,1.0,0.95979764356448,0.8490488620572624,1.0,0.28266311359291885,0.9073840867373848,0.7387002171876197,0.7931677325967067,0.6785722867227845,0.931623450407054,0.6064403167505962,32.32792761764183,7.89149161191948,0.20874400941203775,0.14459622275891,0.5377253157978119,6
PRC-009,Procurement Approval,Sales,0.7660114782437121,0.844458760271137,1.0,1.0,0.801812777068278,0.7545947363890302,0.9115696552865291,0.7849963264169773,12.493016629491697,15.442465876335172,17.97237357000153,14.519417195644579,7.632568935887139,1,0.9174573773399767,0.968735884160994,1.0,1,0,1,1,1,0.9619058332601887,1.0,0.8210107921268208,1.0,0.25361839204326575,0.9415840443756652,0.9418124752598944,0.9472038272473489,0.7771505516441828,0.8845230393190371,0.8837739614872362,24.63436840288225,13.305812702490508,0.0,0.053652805952408004,0.42911587797377726,2
PRC-010,Accounts Payable,Manufacturing,1.0,0.9214864362588389,1.0,1.0,1.0,1.0,1.0,0.8995991407049553,8.711278077265414,18.0,13.348746660594479,13.205255667310936,18.0,1,0.7323682274756388,0.6799236190237317,0.8009948660877462,1,1,1,1,0,0.9282683474001171,0.8493489045458094,0.9890231753490515,1.0,0.10062090521724255,1.0,0.95449701570882,0.9996250154317797,0.8144143201610774,0.893173597516841,0.9496317240901033,28.6018254664274,4.7559386323707304,0.1156587875811011,0.040563610263949154,0.22983151964526646,6
